CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
c841643e69d3        neo4j               7.95%               752.1MiB / 2GiB     36.72%              797kB / 14.5MB      28.8MB / 5.23MB     48
c715a2a42078        producer5           0.43%               58.35MiB / 2GiB     2.85%               16.3MB / 2.02MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.17%               57.63MiB / 2GiB     2.81%               107MB / 766kB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               61.23MiB / 2GiB     2.99%               16.5MB / 2.04MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.18%               71.11MiB / 2GiB     3.47%               112MB / 874kB       549MB / 15.8MB      6
ea2d413f4413        storm               41.36%              771MiB / 2GiB       37.65%              80.5MB / 7.26MB     663MB / 69.9MB      155
283acd69188f        kafka               1.26%               402.1MiB / 2GiB     19.63%              6MB / 10.9MB        61.6MB / 2.3MB      85
c841643e69d3        neo4j               10.93%              752MiB / 2GiB       36.72%              1.21MB / 15.2MB     28.8MB / 7.99MB     47
c715a2a42078        producer5           0.63%               58.38MiB / 2GiB     2.85%               16.5MB / 2.1MB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.26MiB / 2GiB     2.70%               113MB / 818kB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               61.21MiB / 2GiB     2.99%               16.5MB / 2.06MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.19%               71.11MiB / 2GiB     3.47%               115MB / 893kB       549MB / 15.8MB      6
ea2d413f4413        storm               42.50%              775MiB / 2GiB       37.84%              81.6MB / 8.01MB     663MB / 70.1MB      155
283acd69188f        kafka               1.59%               410.2MiB / 2GiB     20.03%              6.28MB / 11.4MB     61.6MB / 2.36MB     85
c841643e69d3        neo4j               0.32%               754.8MiB / 2GiB     36.86%              1.71MB / 16.2MB     28.8MB / 11MB       47
c715a2a42078        producer5           0.38%               58.43MiB / 2GiB     2.85%               16.8MB / 2.18MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.26MiB / 2GiB     2.70%               116MB / 838kB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.26%               61.34MiB / 2GiB     3.00%               16.5MB / 2.08MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           96.86%              91.36MiB / 2GiB     4.46%               118MB / 905kB       594MB / 15.8MB      11
ea2d413f4413        storm               46.01%              775.8MiB / 2GiB     37.88%              82.5MB / 8.64MB     663MB / 70.3MB      155
283acd69188f        kafka               1.28%               410.3MiB / 2GiB     20.03%              6.5MB / 11.8MB      61.6MB / 2.41MB     85
c841643e69d3        neo4j               0.31%               755.5MiB / 2GiB     36.89%              2.2MB / 16.9MB      28.8MB / 14.3MB     47
c715a2a42078        producer5           0.70%               58.52MiB / 2GiB     2.86%               17MB / 2.26MB       4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.26MiB / 2GiB     2.70%               119MB / 858kB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.27%               61.49MiB / 2GiB     3.00%               16.5MB / 2.11MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           91.65%              74.99MiB / 2GiB     3.66%               118MB / 905kB       594MB / 15.8MB      10
ea2d413f4413        storm               103.93%             778.2MiB / 2GiB     38.00%              83.4MB / 9.3MB      663MB / 70.5MB      155
283acd69188f        kafka               1.24%               412.1MiB / 2GiB     20.12%              6.74MB / 12.2MB     61.6MB / 2.47MB     85
c841643e69d3        neo4j               0.32%               758.4MiB / 2GiB     37.03%              2.59MB / 17.5MB     28.8MB / 16.6MB     45
c715a2a42078        producer5           0.71%               58.59MiB / 2GiB     2.86%               17.2MB / 2.33MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           98.93%              72.88MiB / 2GiB     3.56%               120MB / 868kB       0B / 15.8MB         11
7d71704d4fc3        producer3           0.03%               62.29MiB / 2GiB     3.04%               16.5MB / 2.12MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               88.48MiB / 2GiB     4.32%               118MB / 18.8MB      595MB / 15.8MB      8
ea2d413f4413        storm               45.90%              865.4MiB / 2GiB     42.25%              84.4MB / 9.95MB     665MB / 70.7MB      158
